b'timestamp,open,high,low,close,volume
2020-07-02 20:00:00,4.0200,4.0200,4.0100,4.0100,587
2020-07-02 19:59:00,4.0200,4.0200,4.0200,4.0200,407
2020-07-02 19:58:00,4.0200,4.0200,4.0200,4.0200,381
2020-07-02 19:57:00,4.0000,4.0000,4.0000,4.0000,397
2020-07-02 19:56:00,4.0000,4.0000,4.0000,4.0000,1000
2020-07-02 19:54:00,4.0200,4.0200,4.0200,4.0200,106
2020-07-02 19:52:00,4.0200,4.0200,4.0000,4.0000,450
2020-07-02 19:50:00,4.0200,4.0200,4.0200,4.0200,200
2020-07-02 19:46:00,4.0200,4.0200,4.0200,4.0200,487
2020-07-02 19:42:00,4.0200,4.0200,4.0200,4.0200,1300
2020-07-02 19:37:00,4.0200,4.0200,4.0200,4.0200,702
2020-07-02 19:34:00,4.0200,4.0200,4.0200,4.0200,158
2020-07-02 19:27:00,4.0001,4.0001,4.0001,4.0001,369
2020-07-02 19:23:00,4.0200,4.0200,4.0000,4.0000,1355
2020-07-02 19:14:00,4.0100,4.0100,4.0100,4.0100,100
2020-07-02 19:13:00,3.9800,3.9800,3.9800,3.9800,582
2020-07-02 19:11:00,4.0000,4.0000,4.0000,4.0000,418
2020-07-02 19:05:00,4.0200,4.0200,4.0200,4.0200,150
2020-07-02 18:57:00,4.0100,4.0200,4.0100,4.0200,1361
2020-07-02 18:53:00,4.0000,4.0000,4.0000,4.0000,1701
2020-07-02 18:48:00,4.0000,4.0000,4.0000,4.0000,300
2020-07-02 18:46:00,4.0000,4.0000,3.9800,3.9800,1762
2020-07-02 18:43:00,3.9900,3.9900,3.9900,3.9900,102
2020-07-02 18:35:00,4.0000,4.0000,4.0000,4.0000,214
2020-07-02 18:33:00,4.0000,4.0000,4.0000,4.0000,187
2020-07-02 18:32:00,4.0000,4.0000,4.0000,4.0000,1452
2020-07-02 18:30:00,3.9900,3.9900,3.9900,3.9900,241
2020-07-02 18:24:00,4.0000,4.0000,4.0000,4.0000,569
2020-07-02 18:21:00,4.0000,4.0000,3.9900,3.9900,600
2020-07-02 18:19:00,3.9900,3.9900,3.9900,3.9900,270
2020-07-02 18:16:00,3.9900,3.9900,3.9900,3.9900,120
2020-07-02 18:10:00,4.0200,4.0200,4.0200,4.0200,100
2020-07-02 18:09:00,4.0200,4.0200,4.0200,4.0200,250
2020-07-02 18:06:00,4.0200,4.0200,4.0200,4.0200,1802
2020-07-02 18:03:00,4.0200,4.0200,4.0200,4.0200,800
2020-07-02 18:02:00,4.0000,4.0000,4.0000,4.0000,385
2020-07-02 18:00:00,4.0200,4.0200,4.0200,4.0200,327
2020-07-02 17:59:00,4.0200,4.0200,4.0200,4.0200,829
2020-07-02 17:58:00,4.0200,4.0200,4.0200,4.0200,628
2020-07-02 17:57:00,4.0100,4.0200,4.0100,4.0200,3688
2020-07-02 17:55:00,4.0100,4.0100,4.0100,4.0100,820
2020-07-02 17:54:00,4.0200,4.0200,4.0200,4.0200,200
2020-07-02 17:52:00,4.0100,4.0100,4.0100,4.0100,410
2020-07-02 17:50:00,4.0100,4.0100,4.0000,4.0000,591
2020-07-02 17:49:00,4.0000,4.0000,4.0000,4.0000,505
2020-07-02 17:48:00,4.0000,4.0000,4.0000,4.0000,150
2020-07-02 17:47:00,4.0000,4.0000,4.0000,4.0000,928
2020-07-02 17:46:00,4.0000,4.0000,4.0000,4.0000,200
2020-07-02 17:43:00,4.0000,4.0000,4.0000,4.0000,1166
2020-07-02 17:42:00,4.0000,4.0000,4.0000,4.0000,1788
2020-07-02 17:41:00,4.0000,4.0000,4.0000,4.0000,518
2020-07-02 17:40:00,3.9900,4.0000,3.9900,4.0000,686
2020-07-02 17:39:00,4.0000,4.0000,4.0000,4.0000,1300
2020-07-02 17:37:00,3.9900,3.9900,3.9900,3.9900,1100
2020-07-02 17:35:00,3.9900,3.9900,3.9900,3.9900,159
2020-07-02 17:32:00,3.9900,3.9900,3.9900,3.9900,142
2020-07-02 17:30:00,3.9900,3.9900,3.9900,3.9900,606
2020-07-02 17:29:00,3.9900,3.9900,3.9900,3.9900,777
2020-07-02 17:28:00,3.9900,3.9900,3.9900,3.9900,2680
2020-07-02 17:27:00,3.9899,3.9900,3.9899,3.9900,378
2020-07-02 17:26:00,3.9900,3.9900,3.9900,3.9900,105
2020-07-02 17:23:00,3.9900,3.9900,3.9800,3.9800,773
2020-07-02 17:21:00,3.9900,3.9900,3.9900,3.9900,1350
2020-07-02 17:19:00,3.9900,3.9900,3.9800,3.9800,2011
2020-07-02 17:17:00,3.9900,3.9900,3.9900,3.9900,741
2020-07-02 17:16:00,3.9999,4.0000,3.9999,4.0000,210
2020-07-02 17:15:00,3.9902,3.9902,3.9900,3.9900,10143
2020-07-02 17:14:00,3.9900,3.9900,3.9900,3.9900,100
2020-07-02 17:13:00,3.9900,3.9900,3.9900,3.9900,1109
2020-07-02 17:12:00,4.0000,4.0000,3.9900,3.9900,3417
2020-07-02 17:09:00,4.0000,4.0000,3.9900,4.0000,1412
2020-07-02 17:07:00,3.9900,3.9900,3.9900,3.9900,212
2020-07-02 17:06:00,3.9900,3.9945,3.9900,3.9900,618
2020-07-02 17:05:00,3.9900,3.9933,3.9900,3.9900,1536
2020-07-02 17:02:00,4.0000,4.0000,4.0000,4.0000,566
2020-07-02 17:01:00,3.9907,3.9907,3.9900,3.9900,3000
2020-07-02 16:59:00,4.0000,4.0000,3.9900,4.0000,1222
2020-07-02 16:57:00,3.9900,3.9900,3.9900,3.9900,1011
2020-07-02 16:56:00,3.9900,4.0000,3.9900,4.0000,705
2020-07-02 16:55:00,4.0000,4.0000,4.0000,4.0000,500
2020-07-02 16:54:00,3.9900,3.9900,3.9900,3.9900,223
2020-07-02 16:52:00,3.9900,3.9900,3.9900,3.9900,336
2020-07-02 16:51:00,3.9900,3.9900,3.9900,3.9900,240
2020-07-02 16:50:00,3.9900,3.9900,3.9898,3.9900,5409
2020-07-02 16:46:00,4.0000,4.0000,4.0000,4.0000,325
2020-07-02 16:45:00,4.0000,4.0000,4.0000,4.0000,280
2020-07-02 16:43:00,3.9900,3.9900,3.9900,3.9900,261
2020-07-02 16:41:00,3.9999,4.0000,3.9999,4.0000,251
2020-07-02 16:38:00,3.9999,4.0000,3.9999,4.0000,707
2020-07-02 16:37:00,4.0100,4.0100,4.0100,4.0100,339
2020-07-02 16:36:00,4.0100,4.0100,4.0100,4.0100,193
2020-07-02 16:35:00,4.0100,4.0100,4.0100,4.0100,308
2020-07-02 16:34:00,4.0100,4.0100,3.9900,3.9900,3502
2020-07-02 16:33:00,4.0000,4.0000,3.9800,4.0000,5039
2020-07-02 16:32:00,3.9827,3.9827,3.9800,3.9800,1050
2020-07-02 16:30:00,3.9716,3.9716,3.9700,3.9700,2295
